Unique_ID,Substitution,Library,Sublibrary,ScreeningPlate,ScreeningWell,MALDI,Msamples,Substrate,Abs,Aerror,Asamples,Fluoro,Ferror,Fsamples
H_C1-A10_SL_1_3_D07,C1-A10,SL,1,D4P3,F02,1379.5697786666667,5,Phe,1.550177045177284,3.701394336573372,6,10.89588328335119,8.257807462611273,6
H_C4-A10_RX_2_3_C10,C4-A10,RX,2,D4P3,H03,1331.5954213333334,5,Val,39.69770761523576,11.629845620221426,5,76.67587067821843,15.250775705366387,5
H_C1-A10_RX_3_3_D09,C1-A10,RX,3,D3P3,C04,991.3619433333333,2,NA,-1.347028795011955,1.4529914668905854,3,3.434965850794665,1.9772723792162321,3
H_C4-A10_RX_2_2_G05,C4-A10,RX,2,D3P1,B07,1331.51435,2,Val,0.872220667134337,0.8576263722026053,3,7.647364677437662,3.3854173988366907,3
H_C1-A10_RX_4_3_F12,C1-A10,RX,4,D2P4,E12,991.3313,1,NA,2.311769858864857,1.6144503634518137,3,6.543151230519361,2.5486959398699445,3
H_C1-A10_RX_2_1_B04,C1-A10,RX,2,D4P3,C06,1379.5154644444447,6,Phe,2.86249785387055,1.1805016358489488,5,20.82193959544727,4.371077117403698,5
H_C4-A10_RX_4_1_H08,C4-A10,RX,4,D4P4,B08,1331.6021188888888,6,Val,30.150435681537562,10.862692735236942,5,67.72908485474059,15.693959718797931,5
H_C4-A10_SL_4_2_A10,C4-A10,SL,4,D4P2,A04,1345.6592577777776,6,Xle,7.331538913002726,3.1624783202987743,5,32.669326732720705,5.057388714618456,5
H_C1-A10_RX_1_3_B09,C1-A10,RX,1,D2P3,D11,991.3993866666666,2,NA,1.3206068301499778,0.0778587829109989,3,4.940945064426725,2.463324390129208,3
H_C1-A10_RX_1_3_B04,C1-A10,RX,1,D4P3,C03,1289.5594644444445,6,Gly,3.983837192106128,2.6788849084536928,5,17.416983223008895,5.402049946425593,5
H_C1-A10_RX_2_3_A12,C1-A10,RX,2,D2P3,H09,991.3534866666666,2,NA,0.0329280738426679,1.923033924184182,3,2.2401590412244192,2.18933805551639,3
H_C4-A10_RX_4_3_H10,C4-A10,RX,4,D3P2,C11,991.3869866666666,2,NA,76.19619760824067,10.822941282024676,3,90.3273892782354,4.567732535040653,3
H_C1-A10_SL_3_3_C08,C1-A10,SL,3,D3P3,E08,991.3894933333332,2,NA,2.009546090712785,2.2208457306522282,3,6.95459411141767,0.7916725263577432,3
H_C1-A10_RX_3_1_F08,C1-A10,RX,3,D4P4,F07,1303.5272477777778,6,Ala,14.278706713955842,7.048608208492666,5,46.822852791080614,9.516901713576297,5
H_C1-A10_SL_3_3_C05,C1-A10,SL,3,D3P3,E07,991.3894933333332,2,NA,12.611603284984477,3.199269655422653,3,25.109405779392972,1.8260661190041076,3
H_C4-A10_SL_3_2_B02,C4-A10,SL,3,D4P1,G08,1345.619657777778,6,Xle,5.541541462986703,2.4232085474242004,5,29.684299861740747,5.813482571761832,5
H_C4-A10_RX_2_3_G07,C4-A10,RX,2,D4P3,H10,1379.5790413333332,5,Phe,6.8027540723861195,1.5358345411842556,5,27.916632337196823,8.638912079228692,5
H_C4-A10_SL_2_2_E11,C4-A10,SL,2,D4P1,E02,1346.6421744444444,6,Asn,20.00313126998576,2.543062557992991,5,55.75700328859866,4.33418864673535,5
H_C4-A10_SL_4_3_A11,C4-A10,SL,4,D4P3,B04,1333.5804144444444,6,Thr,16.524698232442503,4.8487559727254945,5,54.694954389593775,6.703123952396399,5
H_C1-A10_RX_2_1_F08,C1-A10,RX,2,D4P3,C10,1379.5635477777778,6,Phe,5.580797020078224,1.9188092659120188,5,20.88261587263063,6.2593139265257145,5
H_C4-A10_SL_4_2_E03,C4-A10,SL,4,D4P2,A09,1333.5482346666668,5,Thr,4.9179231731792905,3.053767961908987,5,19.779794730883886,8.030490835604299,5
H_C1-A10_SL_2_2_H12,C1-A10,SL,2,D4P3,F10,1379.5501786666666,5,Phe,-0.3269636654703335,1.5732360993407615,6,8.996869483420483,5.787259327349125,6
H_C1-A10_SL_3_2_H12,C1-A10,SL,3,D4P4,G10,1346.5852586666665,5,Asn,-0.7465300695584658,1.526356099306791,5,12.717624949152887,1.778723050164611,5
H_C4-A10_RX_2_2_D04,C4-A10,RX,2,D3P1,A11,991.35085,2,NA,75.81180278346336,13.177187632941461,3,82.32070898936549,12.684019372937412,3
H_C4-A10_RX_4_2_A08,C4-A10,RX,4,D4P4,B11,1303.5858355555556,6,Ala,15.183548004967301,3.6910573517757244,5,50.5229781996,8.148091831448879,5
H_C4-A10_RX_1_3_E05,C4-A10,RX,1,D4P2,E07,1289.5662155555556,6,Gly,92.85225859377337,28.647134072168505,5,104.64982963209113,8.337280398396182,5
H_C1-A10_SL_1_1_C11,C1-A10,SL,1,D2P4,G02,991.4815,2,NA,13.562852415089269,2.2120719882622772,3,31.57342138482012,8.589137479777984,3
H_C1-A10_SL_1_1_C10,C1-A10,SL,1,D4P3,E04,1104.7868855555555,6,NA,14.323569340556185,2.5824078650359197,5,32.581658071060254,7.825782450403575,5
H_C4-A10_RX_1_3_E01,C4-A10,RX,1,D4P2,E06,1331.6083155555555,6,Val,23.194719751451792,10.016388186532383,5,58.71904120265604,8.560968602987163,5
H_C4-A10_SL_1_3_G12,C4-A10,SL,1,D2P3,A06,1339.5527366666665,2,NA,1.1071076719724486,1.1251217031812772,3,9.434128289414982,3.6791338882000306,3
H_C1-A10_RX_2_2_H09,C1-A10,RX,2,D4P3,D03,1289.5239644444443,6,Gly,1.8930483826413629,1.5620429060195464,5,13.74822215945834,3.3619069718653387,5
H_C4-A10_RX_4_3_A12,C4-A10,RX,4,D4P4,D04,1331.6061977777777,6,Val,47.03759793059143,12.42833486686732,5,86.33066098268884,8.612766808839579,5
H_C1-A10_RX_2_2_H03,C1-A10,RX,2,D4P3,D02,1360.5696477777776,6,Gln,0.6597712519943342,2.7609969380771258,5,14.860700039827009,6.902706337719137,5
H_C1-A10_SL_2_2_C12,C1-A10,SL,2,D4P3,F09,1303.5008586666668,5,Ala,0.14080818672392773,2.0231770463640997,6,10.029614725674906,2.9855800742391407,6
H_C1-A10_RX_3_2_A08,C1-A10,RX,3,D3P2,G11,991.3663366666666,2,NA,1.8031597483109578,3.159229713654745,3,4.76884090289806,2.8236683574827492,3
H_C1-A10_RX_1_2_G12,C1-A10,RX,1,D2P3,D06,991.4316866666666,2,NA,2.3367290667571368,0.4750875835055178,3,9.02329786920009,2.9550923838730063,3
H_C1-A10_RX_3_2_A06,C1-A10,RX,3,D3P2,G09,991.3663366666666,2,NA,2.1733308675774845,4.693824600269619,3,5.145751814197942,3.6683374261138173,3
H_C1-A10_RX_3_2_A07,C1-A10,RX,3,D3P2,G10,991.3663366666666,2,NA,-0.015284831941492952,2.921385386655954,3,1.994117797895817,3.184383984165666,3
H_C1-A10_RX_3_2_A05,C1-A10,RX,3,D3P2,G08,991.3663366666666,2,NA,-0.03852782250008994,2.2639434156618616,3,1.326252287985162,3.4491452105971367,3
H_C1-A10_RX_1_1_D02,C1-A10,RX,1,D2P3,B11,991.4059866666666,2,NA,3.6996999763105882,1.544927660936911,3,7.025572071032127,1.4077805286227176,3
H_C1-A10_RX_3_1_A12,C1-A10,RX,3,D3P2,D08,991.4170866666666,2,NA,3.149449603463168,2.1929503605827243,3,5.436877603540176,3.521968825385765,3
H_C4-A10_SL_4_1_D06,C4-A10,SL,4,D4P1,H10,1303.560041111111,6,Ala,-0.626654950809604,1.0467720518233687,5,6.467103648718779,3.2734476049895673,5
H_C4-A10_SL_4_2_H06,C4-A10,SL,4,D1P2,H12,991.3825733333332,1,NA,4.242306657092175,1.8972100329824388,3,5.920819247819536,1.255501075121275,3
H_C4-A10_RX_1_3_B10,C4-A10,RX,1,D2P1,F01,NA,0,NA,-0.47029499171872846,0.8574447873100908,3,1.47663058198632,2.9441488038872974,3
H_C1-A10_SL_4_1_E04,C1-A10,SL,4,D4P4,H04,1379.5808333333334,6,Phe,15.222769132074763,5.589327336436468,5,53.434237598048796,9.549515695953918,5
H_C4-A10_SL_4_1_C12,C4-A10,SL,4,D4P1,H09,1333.5333946666665,5,Thr,-0.6444069119474213,1.2048309174687897,5,8.381147990918508,2.1041817337734186,5
