G18,"991.7941(R14599,S396)",,
G19,"1332.1202(R14246,S178)","1290.0800(R16385,S101)",
G20,"1290.0786(R14719,S552)",,
G21,"1332.1302(R14358,S578)",,
G22,"1320.0923(R14854,S353)",,
G23,"1332.1429(R14172,S1344)",,
G24,1304.1,,
H1,"1332.0197(R16189,S92)",,
H2,991.8,,
H3,"1332.0554(R14080,S2261)",,
H4,"991.7545(R12413,S1020)",,
H5,"991.7545(R12413,S1020)",,
H6,"991.7545(R12413,S1020)",,
H7,"1332.0527(R14472,S2341)",,
H8,"991.7465(R12875,S1260)",,
H9,"1332.0598(R13099,S412)","991.7465(R12875,S1260)",
H10,"991.7552(R12413,S3262)",,
H11,"1332.0604(R13657,S1278)",,
H12,"1320.0219(R18022,S251)",,
H13,"1332.0647(R14726,S706)",,
H14,1361.08,,
H15,"1332.0852(R16287,S376)",,
H16,"991.7887(R12117,S2473)",,
H17,"991.7887(R12117,S2473)",,
H18,"1346.1227(R15294,S534)",,
H19,"1320.0881(R13044,S859)",,
H20,"1320.0781(R15627,S289)",,
H21,"1304.0695(R15595,S363)",,
H22,"991.8080(R12917,S1086)",,
H23,1332.09,,
H24,N,,
I1,"1332.0300(R13865,S51)",,
I2,"1332.0111(R15952,S200)",,
I3,1290,,
I4,"1332.0441(R14686,S723)",,
I5,"1304.0170(R16039,S72)",,
I6,"1332.0356(R14666,S893)",,
I7,"1332.0488(R13242,S1730)",,
I8,"991.7381(R12865,S450)",,
I9,"991.7381(R12865,S450)",,
I10,"991.7381(R12865,S450)",,
I11,"1289.9785(R14184,S431)","1369.9685(R16528,S276)",
I12,"991.7558(R13114,S305)",,
I13,"1304.0428(R13573,S240)",,
I14,"1332.0757(R14647,S1688)",,
I15,991.74,,
I16,"1332.0975(R13522,S988)",,
I17,"1361.1196(R17926,S123)",,
I18,1334.05,,
I19,"991.7996(R13900,S102)",,
I20,"1290.0526(R13832,S111)",,
I21,1304.06,1303.06,
I22,"1332.1107(R17773,S75)",,
I23,"991.8091(R12616,S91)",,
I24,"1332.1011(R15930,S201)",,
J1,N,,
J2,"1332.0137(R16046,S290)",,
J3,"1391.0468(R15761,S816)",,
J4,"991.7360(R12290,S1158)",,
J5,"1303.9800(R15778,S53)",,
J6,"1332.0189(R16891,S138)",,
J7,"1346.0494(R14489,S159)",,
J8,"991.7410(R11159,S818)",,
J9,"991.7505(R11656,S119)",,
J10,"1332.0548(R14472,S1575)",,
J11,"991.7414(R13654,S148)",,
J12,"1289.9866(R13978,S629)",,
J13,"1346.0992(R14528,S392)",,
J14,1389.1,"991.7514(R12171,S658)",
J15,"1304.0647(R13647,S72)",,
J16,"1290.0372(R14128,S314)",,
J17,1304.04,,
J18,"1332.1486(R13919,S2217)",,
J19,"991.7771(R14020,S797)",,
J20,"991.7771(R14020,S797)",,
J21,"1332.1346(R13227,S1510)",,
J22,"1332.1228(R13623,S1596)",,
J23,"1304.0781(R14899,S562)",,
J24,991.75,,
K1,"1332.0056(R15632,S106)",,
K2,N,,
K3,1289.95,,
K4,"1332.0325(R14866,S1265)",,
K5,1362.04,"991.7319(R12171,S71)",
K6,"1332.0283(R14907,S132)","991.7350(R11973,S222)",
K7,1290.02,,
K8,"1332.0315(R14826,S818)",,
K9,"1346.0684(R11844,S51)",,
K10,"991.7382(R12365,S2086)",,
K11,991.8,,
K12,"1332.0446(R14968,S938)",,
K13,"991.7534(R12460,S259)",,
K14,"1332.0781(R13006,S2472)",,
K15,"1332.0825(R14434,S2260)",,
K16,"1332.0825(R14530,S1872)",,
K17,"1391.1265(R15589,S428)",,
K18,"991.7867(R12875,S1176)",,
K19,"991.7867(R12875,S1176)",,
K20,N,,
K21,"1320.0752(R14535,S1012)",,
K22,"1332.1268(R13901,S1561)",,
K23,"1332.1140(R14569,S1654)",,
K24,"1332.1007(R15522,S85)",,
L1,N,,
L2,N,,
L3,"1289.9591(R14758,S761)",,
L4,"1332.0032(R15566,S374)",,
L5,"1303.9896(R14262,S491)",,
L6,"991.7159(R13351,S337)",,
L7,"1289.9592(R13292,S101)",,
L8,"991.7223(R12814,S1297)",,
L9,"1380.0513(R14184,S1401)",,
L10,"991.7279(R11410,S450)",,
L11,"1290.0044(R17848,S90)",,
L12,"991.7388(R11938,S1513)",,
L13,"1304.0068(R13982,S1449)",,
L14,"991.7476(R14253,S237)",,
L15,"1346.0845(R15685,S210)",,
