G21,"1289.4257(R17752,S65)",,
G22,N,,
G23,"1379.4255(R14694,S159)",,
G24,N,,
H1,"1388.3408(R14023,S396)",,
H2,N,,
H3,"991.3977(R13871,S119)",,
H4,N,,
H5,"1333.5405(R14491,S84)","991.3977(R13871,S119)",
H6,N,,
H7,"991.3959(R8944,S1418)",,
H8,N,,
H9,"1333.5000(R13469,S2094)",,
H10,N,,
H11,"991.3752(R9720,S392)",,
H12,N,,
H13,"991.3752(R9720,S392)",,
H14,N,,
H15,"991.3752(R9720,S392)",,
H16,N,,
H17,"1379.4756(R13798,S1170)",,
H18,N,,
H19,"1303.4611(R13101,S796)","1383.4059(R16052,S394)",
H20,N,,
H21,"1333.4332(R12584,S280)",,
H22,N,,
H23,"991.3283(R10299,S831)",,
H24,N,,
I1,"1333.3179(R13034,S59)",,
I2,"991.4116(R11080,S558)",,
I3,"1289.5215(R11334,S177)","991.4116(R11080,S558)",
I4,"1333.5385(R14187,S4686)",,
I5,"991.4022(R9657,S507)",,
I6,"1379.5421(R11984,S526)",,
I7,"1289.4850(R12560,S83)",,
I8,"1333.5393(R16112,S9155)",,
I9,"991.3842(R9989,S521)",,
I10,"991.3842(R9989,S521)",,
I11,"1289.4845(R11638,S56)","991.3842(R9989,S521)",
I12,"991.3784(R10657,S301)",,
I13,"991.3784(R10657,S301)",,
I14,"1361.4878(R11666,S69)",,
I15,"991.3659(R10479,S392)",,
I16,"1289.4510(R20917,S50)",,
I17,"991.3703(R10828,S187)",,
I18,"991.3703(R10828,S187)",,
I19,"991.3703(R10828,S187)",,
I20,"991.3703(R10828,S187)",,
I21,"991.3703(R10828,S187)",,
I22,"991.3703(R10828,S187)",,
I23,"991.3703(R10828,S187)",,
I24,"991.3703(R10828,S187)",,
J1,"991.2566(R7564,S92)",,
J2,"1333.5566(R12822,S682)",,
J3,"991.4276(R11005,S218)",,
J4,"991.4276(R11005,S218)",,
J5,1331.6,,
J6,"991.4099(R11635,S211)",,
J7,"1289.4988(R13405,S171)","991.4099(R11635,S211)",
J8,"991.3942(R10405,S316)",,
J9,N,,
J10,"991.3942(R10405,S316)",,
J11,"1289.5100(R11322,S123)","991.3942(R10405,S316)",
J12,"1379.5297(R13437,S135)",,
J13,"1289.4972(R13422,S706)",,
J14,"991.3893(R11117,S314)",,
J15,N,,
J16,"1303.4949(R15167,S84)",,
J17,"991.3883(R10728,S481)",,
J18,"1303.4987(R15772,S188)",,
J19,"991.3784(R10319,S625)",,
J20,"1331.5079(R13600,S237)",,
J21,"1333.4849(R11498,S141)",,
J22,"1333.4849(R11498,S141)",,
J23,"991.3604(R11406,S897)",,
J24,1303.5,,
K1,"991.3604(R11406,S897)",,
K2,"991.3604(R11406,S897)",,
K3,"991.3604(R11406,S897)",,
K4,"991.3604(R11406,S897)",,
K5,"991.3604(R11406,S897)",,
K6,"991.3604(R11406,S897)",,
K7,"991.3604(R11406,S897)",,
K8,"1379.5658(R13986,S400)","991.4242(R11745,S185)",
K9,"1289.5468(R14336,S54)","991.4242(R11745,S185)",
K10,"1319.5365(R12976,S255)",,
K11,"991.4102(R9720,S533)",,
K12,"991.4102(R9720,S533)",,
K13,"991.4102(R9720,S533)",,
K14,"991.4102(R9720,S533)",,
K15,"991.4102(R9720,S533)",,
K16,"991.4102(R9720,S533)",,
K17,"991.4102(R9720,S533)",,
K18,1333.5,"991.4102(R9720,S533)",
K19,"991.3833(R11232,S99)",,
K20,1319.55,,
K21,"991.3787(R10728,S1696)",,
K22,"1331.5297(R14942,S457)",,
K23,"991.3699(R11117,S323)",,
K24,"1289.4823(R17487,S85)",,
L1,"1333.3513(R13049,S234)",,
L2,"1333.6244(R16066,S9378)",,
L3,"991.4581(R10693,S224)",,
L4,N,,
L5,N,,
L6,"1333.5989(R15173,S1416)",,
L7,"1289.5560(R14471,S431)",,
L8,N,,
L9,"991.4362(R10589,S1414)",,
L10,"1333.6039(R15236,S1177)",,
L11,"1319.5497(R13700,S1427)",,
L12,N,,
L13,"991.4283(R10879,S414)",,
L14,N,,
L15,"1333.5692(R13863,S2702)",,
L16,N,,
L17,"991.4158(R10990,S726)",,
L18,N,,
L19,"1333.5313(R13758,S567)","991.4158(R10990,S726)",
L20,N,,
L21,"991.3950(R11719,S362)",,
L22,N,,
L23,"991.3950(R11719,S362)",,
L24,N,,
M1,"1331.3933(R9475,S52)","991.2944(R14927,S76)",
M2,"1331.6481(R13653,S4331)",,
M3,"1333.6163(R14151,S1283)",,
M4,"1289.5908(R13321,S412)",,
M5,"1379.6195(R12152,S680)",,
M6,"1333.6233(R11634,S192)",,
M7,"1346.6226(R14179,S111)","991.4523(R11088,S202)",
M8,"1289.5657(R14010,S133)","991.4523(R11088,S202)",
M9,"1379.5958(R13884,S172)",,
M10,"991.4415(R10020,S575)",,
M11,"991.4415(R10020,S575)",,
M12,"1360.5890(R13005,S566)",,
M13,"991.4420(R10008,S1142)",,
M14,"991.4420(R10008,S1142)",,
M15,"991.4420(R10008,S1142)",,
M16,"991.4420(R10008,S1142)",,
M17,"991.4420(R10008,S1142)",,
M18,"991.4420(R10008,S1142)",,
M19,"991.4420(R10008,S1142)",,
M20,"991.4420(R10008,S1142)",,
M21,"991.4420(R10008,S1142)",,
M22,"1360.5430(R14703,S473)",,
M23,"991.4000(R11217,S238)",,
M24,"991.4000(R11217,S238)",,
N1,1331.5,"991.3002(R7789,S129)",
N2,"991.3002(R7789,S129)",,
N3,"991.3002(R7789,S129)",,
N4,"1331.6653(R13517,S3871)",,
N5,"991.4694(R11561,S428)",,
N6,"1331.6409(R12202,S1843)",,
N7,"991.4543(R9886,S521)",,
N8,1289.6,"991.4543(R9886,S521)",
N9,"991.4543(R9886,S521)",,
N10,"1333.5974(R13194,S452)",,
N11,"991.4562(R10133,S571)",,
N12,N,,
N13,"991.4562(R10133,S571)",,
N14,"1331.6150(R13401,S640)",,
N15,"991.4487(R11375,S144)",,
N16,"1319.5656(R13735,S82)",,
N17,"991.4491(R10616,S288)",,
N18,"1331.5916(R12466,S280)",,
N19,"1388.5988(R15843,S258)",,
N20,"1319.5610(R16707,S159)",,
N21,"1388.6127(R13574,S199)",,
N22,"1331.5721(R14428,S507)",,
N23,N,,
N24,"1331.5737(R16017,S337)",,
O1,N,,
O2,N,,
O3,"991.4847(R10931,S845)",,
O4,N,,
O5,"1379.6538(R13422,S2077)",,
O6,N,,
O7,"991.4753(R9785,S251)",,
O8,N,,
O9,"991.4753(R9785,S251)",,
O10,N,,
O11,N,,
O12,N,,
O13,"991.4753(R9785,S251)",,
O14,N,,
O15,"991.4753(R9785,S251)",,
O16,N,,
O17,"991.4753(R9785,S251)",,
O18,N,,
O19,"1333.5890(R12837,S772)",,
O20,N,,
O21,"1289.5502(R13791,S95)",,
O22,N,,
O23,"1379.5846(R14526,S58)",,
O24,N,,
P1,1333.4,,
P2,N,,
P3,"991.4893(R12195,S80)",,
P4,N,,
P5,"991.4893(R12195,S80)",,
P6,N,,
P7,N,"1333.6329(R13037,S1847)",
P8,N,,
P9,N,,
P10,N,,
P11,"991.4788(R11080,S467)",,
P12,N,,
P13,"991.4788(R11080,S467)",,
P14,N,,
P15,"991.4788(R11080,S467)",,
P16,N,,
P17,"1379.6376(R13901,S1388)",,
P18,N,,
P19,"1303.5988(R13151,S863)","1383.5530(R15295,S388)",
P20,N,,
P21,"1333.5920(R14374,S197)",,
P22,N,,
P23,"991.4546(R11686,S82)",,
P24,N,,
