CAL1,"757.4027(R8683,S5681)","1046.5366(R11889,S11511)","1533.8607(R15705,S12288)"
CAL3,"757.4030(R8333,S5160)","1046.5359(R11760,S8301)","1533.8611(R14055,S10173)"
CAL6,"757.4023(R8463,S4950)","1046.5375(R11726,S11783)","1533.8602(R15784,S14520)"
CAL11,"757.4028(R7204,S1792)","1046.5364(R10781,S4668)","1533.8608(R15209,S8751)"
CAL8,"757.4017(R9738,S7761)","1046.5387(R13627,S11740)","1533.8596(R14938,S11925)"
A1,"1303.4805(R12489,S345)",,
A2,"991.3811(R10358,S1256)",,
A3,"991.3776(R9767,S3982)",,
A4,"991.3710(R10567,S1323)",,
A5,"1289.4508(R12369,S587)",,
A6,"1331.4958(R15086,S9080)",,
A7,"1333.4448(R12469,S726)",,
A8,"1331.4686(R12065,S206)",,
A9,"991.3354(R9388,S1943)",,
A10,"991.3354(R9388,S1943)",,
A11,"1319.4202(R16204,S182)",,
A12,"1331.4500(R14001,S510)",,
A13,"991.3279(R9426,S835)",,
A14,"1289.3939(R12992,S285)",,
A15,"991.3220(R10981,S1078)",,
A16,"1331.4276(R13268,S107)",,
A17,"1289.3801(R12016,S259)",,
A18,"1289.3726(R16927,S98)",,
A19,"991.3002(R9891,S926)",,
A20,"1331.4231(R15064,S4507)",,
A21,"991.3021(R10813,S252)",,
A22,"991.3165(R13334,S4585)",,
A23,1303.3546(),,
A24,"1289.3417(R15487,S132)",,
B1,N,,
B2,"1289.4720(R12486,S130)",,
B3,"1289.4845(R13405,S91)",,
B4,"1289.4634(R11481,S1160)",,
B5,"991.3640(R11593,S112)",,
B6,"1331.5095(R14921,S7622)",,
B7,"991.3491(R10082,S1144)",,
B8,"1379.4615(R11833,S846)",,
B9,"991.3570(R10019,S226)",,
B10,"1331.4716(R12985,S243)",,
B11,"1289.4198(R14351,S139)",,
B12,"991.3414(R10560,S724)",,
B13,"1289.4137(R12850,S59)",,
B14,"1331.4489(R13204,S139)",,
B15,"991.3316(R11286,S455)",,
B16,"1289.4034(R14629,S469)",,
B17,"991.3264(R10113,S1224)",,
B18,"1331.4519(R13806,S3146)",,
B19,"991.3137(R10966,S767)",,
B20,"991.3058(R12102,S221)",,
B21,"991.3046(R11101,S295)",,
B22,"1289.3770(R14390,S147)",,
B23,"991.3056(R11609,S4804)",,
B24,"1303.3778(R15275,S56)",,
C1,"1331.3129(R11945,S364)",,
C2,"1379.5253(R13681,S796)",,
C3,"1289.4879(R12283,S259)",,
C4,"1289.4761(R12268,S253)",,
C5,"1333.4865(R12658,S88)",,
C6,"991.3727(R10707,S682)",,
C7,"991.3692(R11326,S5403)",,
C8,"1395.4825(R12772,S592)",,
C9,"1303.4724(R14810,S7542)",,
C10,"1331.4963(R13416,S4499)",,
C11,"991.3571(R9593,S974)",,
C12,"1331.4783(R16426,S7563)",,
C13,"1395.4757(R15681,S4685)",,
C14,"1331.4924(R14739,S6819)",,
C15,"991.3347(R10299,S417)",,
C16,"1331.4457(R13366,S462)",,
C17,"991.3336(R10615,S279)",,
C18,"1331.4736(R15626,S6161)",,
C19,"991.3203(R10777,S889)",,
C20,"1331.4669(R15493,S6059)",,
C21,"1289.3912(R13455,S135)",,
C22,"1331.4434(R15693,S4799)",,
C23,"991.3159(R11018,S1141)",,
C24,"1289.3839(R13971,S835)",,
