E17,"1379.5928(R12405,S118)",,
E18,"1303.5664(R12417,S2887)",,
E19,"1319.5405(R12241,S51)",,
E20,"1319.5449(R11852,S99)","1333.5513(R12057,S30)",
E21,"1333.5730(R13052,S3380)",,
E22,"1303.5579(R12592,S2888)",,
E23,"1333.5562(R13114,S3785)",,
E24,"1289.5308(R12100,S479)","991.4224(R9832,S701)",
F1,"1333.5986(R13067,S1377)",,
F2,"1333.6002(R12247,S102)","992.4465(R8737,S113)",
F3,"1379.6359(R12049,S130)",,
F4,"1333.5737(R9958,S12)","991.4489(R8451,S94)",
F5,"1333.5985(R12944,S4501)",,
F6,"1333.5869(R11952,S175)",,
F7,"1361.5623(R10632,S22)",,
F8,"1289.5480(R11950,S261)","991.4362(R9560,S415)",
F9,"1333.5658(R13067,S248)",,
F10,"1333.5574(R11170,S600)",,
F11,"1379.5732(R14039,S36)",,
F12,"1289.5315(R11608,S122)","991.4182(R8885,S683)",
F13,"1303.5498(R11594,S111)","1333.5518(R14822,S25)",
F14,"1303.5516(R11683,S1165)",,
F15,"1303.5452(R14276,S43)",,
F16,"1289.5433(R11408,S41)","991.4326(R9411,S276)",
F17,"1303.5624(R11918,S159)",,
F18,"1289.5433(R12326,S469)","991.4319(R9571,S1038)",
F19,"1379.5861(R12139,S270)",,
F20,"1333.5645(R14206,S50)","991.4307(R9797,S349)",
F21,"1319.5428(R12976,S98)",,
F22,"1289.5345(R11457,S59)",,
F23,"1333.5624(R14762,S33)","1360.6147(R7465,S10)","991.4271(R9400,S780)"
F24,"1289.5189(R12254,S184)","991.4149(R9281,S1045)",
G1,"1319.4319(R12063,S29)",,
G2,"1289.5659(R11764,S576)",,
G3,"1331.6366(R12788,S3458)",,
G4,"1333.5828(R12644,S215)",,
G5,"1289.5437(R11923,S145)",,
G6,"1333.5623(R12614,S219)",,
G7,"1331.6058(R11654,S2399)",,
G8,"1289.5452(R11096,S919)",,
G9,"1289.5425(R12170,S109)",,
G10,"1319.5331(R11635,S1586)",,
G11,"1289.5253(R11990,S361)",,
G12,"1333.5555(R12386,S3978)",,
G13,"1331.5679(R12743,S2083)",,
G14,"1333.5491(R12644,S615)","991.4176(R9922,S1417)",
G15,"1379.5717(R12048,S358)",,
G16,"1333.5725(R12044,S2810)",,
G17,"1331.6010(R12298,S1155)",,
G18,"1379.5842(R12297,S1007)",,
G19,"1303.5631(R11264,S280)",,
G20,"1346.6018(R12650,S298)","991.4343(R10306,S596)",
G21,"1379.5864(R12351,S410)",,
G22,"1379.5555(R13406,S81)",,
G23,"1395.5652(R12034,S272)",,
G24,"991.4178(R9868,S3826)",,
H1,"1331.4286(R11039,S460)",,
H2,"1388.6421(R12080,S86)","1390.6421(R12080,S86)",
H3,"1331.6189(R12596,S2350)",,
H4,"1388.6420(R11577,S195)",,
H5,"1331.6045(R12552,S2792)",,
H6,"991.4346(R9657,S179)",,
H7,"1331.6169(R12955,S2305)",,
H8,"1379.5806(R12378,S1421)",,
H9,"1331.5763(R13017,S2919)",,
H10,"1333.5575(R12288,S1270)",,
H11,"1331.6074(R12654,S3646)",,
H12,"1379.5579(R12378,S277)",,
H13,"1289.5247(R11298,S359)",,
H14,"991.4107(R9651,S295)",,
H15,"1289.5266(R12240,S308)",,
H16,"991.4377(R9832,S3665)",,
H17,"1379.5881(R12698,S1876)",,
H18,"1333.5708(R13209,S3994)",,
