CAL1,"757.6299(R10149,S4251)","1046.8776(R13854,S8142)","1534.3854(R15751,S5161)"
CAL2,"757.6039(R9906,S4377)","1046.8452(R13316,S7458)","1534.3422(R14531,S3447)"
CAL4,"757.6074(R9607,S3369)","1046.8517(R12723,S6682)","1534.3566(R14910,S4189)"
CAL5,"757.6537(R10216,S5344)","1046.9135(R13113,S8166)","1534.4445(R14107,S5489)"
CAL6,"757.6584(R9475,S2867)","1046.9209(R12429,S5417)","1534.4625(R14667,S3309)"
A1,N,,
A2,"991.7124(R13167,S45)",,
A3,N,,
A4,N,,
A5,N,,
A6,N,,
A7,N,,
A8,N,,
A9,N,,
A10,N,,
A11,N,,
A12,N,,
A13,N,,
A14,N,,
A15,N,,
A16,N,,
A17,"1331.9380(R27028,S17)",,
A18,N,,
A19,N,,
A20,N,,
A21,N,,
A22,N,,
A23,N,,
A24,N,,
B1,"1331.9808(R20603,S11)",,
B2,N,,
B3,"1380.0215(R15855,S1967)","1460.0009(R16451,S1232)",
B4,"1289.9320(R15160,S396)",,
B5,"1289.9058(R15724,S57)",,
B6,"991.7002(R16055,S13)",,
B7,"1331.9633(R16310,S497)",,
B8,"1289.9006(R15724,S25)",,
B9,"1303.9052(R20423,S30)",,
B10,"1319.9277(R13218,S22)",,
B11,"1390.0179(R18946,S44)","1389.0165(R15825,S67)",
B12,"1319.9146(R15831,S349)",,
B13,"1303.9246(R17832,S45)",,
B14,N,,
B15,N,,
B16,N,,
B17,N,,
B18,N,,
B19,"1331.9615(R17237,S486)",,
B20,"1333.9719(R14173,S411)",,
B21,"1319.9344(R16235,S712)",,
B22,"1303.9187(R16848,S859)",,
B23,N,,
B24,N,,
C1,"1331.9941(R19625,S39)",,
C2,N,,
C3,"1303.9424(R19781,S22)",,
C4,"991.7230(R14744,S7484)",,
C5,"991.7098(R14277,S862)",,
C6,"1289.9297(R15866,S312)",,
C7,"991.7014(R13922,S299)",,
C8,N,,
C9,"1331.9714(R15952,S200)",,
C10,"1333.9579(R15611,S3587)",,
C11,"1289.9180(R17940,S28)",,
C12,"1319.9404(R17872,S168)",,
C13,"1331.9695(R14559,S304)",,
C14,"1303.9491(R15708,S696)",,
C15,"1331.9850(R15315,S1099)",,
C16,"1331.9836(R16532,S790)",,
C17,"1332.0057(R14482,S1241)","1333.0057(R14482,S1241)",
C18,N,,
C19,"991.6953(R12905,S1657)",,
C20,"1346.0127(R15443,S243)",,
C21,"1331.9878(R15848,S1764)",,
C22,"991.7042(R13619,S47)",,
C23,"1331.9720(R20169,S31)",,
C24,N,,
D1,N,,
D2,N,,
D3,"991.7363(R12625,S634)",,
D4,"1319.9775(R15925,S711)",,
D5,N,,
D6,N,,
D7,"1331.9775(R14061,S28)","991.7081(R13061,S798)",
D8,"991.7112(R14704,S57)",,
D9,"1331.9945(R13971,S233)",,
D10,"1319.9644(R13757,S173)",,
D11,"1303.9517(R13981,S21)",,
D12,"1346.0190(R16482,S355)",,
D13,"1331.9919(R16141,S183)",,
D14,"1379.9998(R17663,S266)",,
D15,"1303.9470(R16535,S128)",,
