CAL1,"757.4024(R7949,S2858)","1046.5371(R11400,S12076)","1533.8605(R14870,S11013)"
CAL3,"757.4009(R8660,S2562)","1046.5403(R12372,S9144)","1533.8589(R14361,S11236)"
CAL6,"757.4012(R7542,S1284)","1046.5397(R11474,S6974)","1533.8591(R15045,S10411)"
CAL11,"757.4017(R8266,S2270)","1046.5386(R11206,S9201)","1533.8597(R15804,S13507)"
CAL13,"757.4014(R8327,S1751)","1046.5393(R11678,S8372)","1533.8594(R14746,S12940)"
A1,"1303.6846(R16132,S72)",,
A2,1395.76,,
A3,"1333.6957(R13708,S126)",,
A4,N,,
A5,1303.6,,
A6,"1331.6914(R14565,S102)",,
A7,"1289.6268(R14817,S100)",,
A8,1289.6,,
A9,991.5,,
A10,"1331.6650(R16113,S5327)",,
A11,1345.6,,
A12,"1303.6083(R12519,S51)",,
A13,991.5,,
A14,N,,
A15,"1303.5854(R13167,S83)",,
A16,"1331.6213(R13669,S1248)",,
A17,"1360.5906(R14550,S388)",,
A18,"1289.5775(R15156,S65)","991.4576(R12690,S55)",
A19,"1333.5793(R14803,S213)",,
A20,"1331.5845(R13790,S907)",,
A21,1319.6,,
A22,1331.5,,
A23,N,,
A24,991.5,,
B1,991.5,,
B2,"1331.7017(R17595,S209)",,
B3,N,,
B4,"1331.6855(R16042,S704)",,
B5,N,,
B6,"1331.6608(R14642,S910)",,
B7,"1303.6338(R14915,S318)",,
B8,"1331.6373(R15342,S286)",,
B9,"1331.6371(R15109,S77)",,
B10,1289.6,,
B11,N,,
B12,N,,
B13,N,,
B14,"1331.5739(R15786,S114)",,
B15,N,,
B16,N,,
B17,991.5,,
B18,"991.4355(R11839,S55)",,
B19,"991.4355(R11839,S55)",,
B20,N,"991.4355(R11839,S55)",
B21,"991.4355(R11839,S55)",,
B22,"1331.5714(R20088,S126)",,
B23,1345.6,,
B24,"991.4355(R11839,S55)",,
C1,N,,
C2,"1331.6805(R15879,S1016)",,
C3,"991.5190(R12006,S142)",,
C4,"1331.6693(R14222,S311)",,
C5,N,,
C6,"1331.6345(R11654,S470)",,
C7,"991.4653(R11065,S627)",,
C8,"991.4653(R11065,S627)",,
C9,"991.4653(R11065,S627)",,
C10,"1369.6024(R15244,S371)",,
C11,N,,
C12,"1369.6013(R13749,S67)",,
C13,"991.4390(R11335,S508)",,
C14,"1331.5817(R15385,S150)",,
C15,1289.6,,
C16,"1331.5815(R14861,S1974)",,
C17,"1289.5355(R19172,S73)","991.4329(R9832,S67)",
C18,"1303.5529(R13265,S261)",,
C19,"1289.5355(R19172,S73)",,
C20,1319.6,,
C21,"991.4182(R15166,S55)",,
C22,"991.4182(R15166,S55)",,
C23,N,,
C24,"991.4182(R15166,S55)",,
D1,N,,
D2,"1303.6416(R12683,S2401)",,
D3,N,,
D4,"991.4825(R9293,S73)",,
D5,"991.4825(R9293,S73)",,
D6,"991.4825(R9293,S73)",,
