F1,"1331.4779(R13350,S936)",,
F2,"1303.6541(R14999,S704)",,
F3,"1303.6465(R17197,S50)",,
F4,"1331.7347(R15194,S5835)",,
F5,"1319.6342(R15991,S177)","1333.6494(R17178,S150)",
F6,"1331.6655(R13303,S1329)",,
F7,"1319.6123(R14261,S1800)",,
F8,"1331.6714(R16379,S4764)",,
F9,"1346.6125(R15493,S84)",,
F10,"1331.6649(R15972,S5358)",,
F11,"1289.5902(R16153,S757)",,
F12,"1331.6429(R16757,S4578)",,
F13,"1289.5682(R14314,S826)",,
F14,"1331.6356(R16185,S3881)",,
F15,"1319.5880(R15827,S3524)",,
F16,"1331.6378(R15948,S1650)",,
F17,"1319.5782(R14972,S971)",,
F18,"1331.6310(R15995,S4292)",,
F19,"1289.5515(R16929,S283)",,
F20,"1319.5815(R15897,S5361)",,
F21,"1333.5677(R16065,S1781)",,
F22,"1303.5541(R15938,S2285)",,
F23,"1303.5515(R16403,S2409)",,
F24,"1331.5745(R16964,S6163)",,
G1,"1333.4753(R12205,S5038)",,
G2,"1331.6531(R16604,S2368)",,
G3,"1289.6183(R14632,S253)",,
G4,"1331.6572(R14260,S1426)",,
G5,"1333.6420(R15131,S13248)",,
G6,"1333.6156(R18579,S27)",,
G7,"1319.5729(R15055,S1066)",,
G8,"1331.6189(R14448,S1603)",,
G9,"1303.5952(R14295,S1690)",,
G10,"1331.6127(R14315,S2678)",,
G11,"1331.6041(R14505,S2646)",,
G12,"1388.6411(R13822,S53)","991.4507(R11577,S919)",
G13,"1345.6100(R16551,S54)",,
G14,"1331.6447(R15832,S5415)",,
G15,"1345.6180(R16985,S570)",,
G16,"1331.5957(R16136,S3401)",,
G17,"1319.5450(R14707,S1883)",,
G18,"1331.6273(R15407,S2956)",,
G19,"1319.5569(R15118,S1425)",,
G20,"1331.6141(R16042,S2476)",,
G21,"1345.5808(R15120,S411)",,
G22,"1331.5745(R15256,S2682)",,
G23,"1379.5525(R15828,S2307)",,
G24,"1331.5472(R15298,S5242)",,
H1,"1289.5913(R14591,S267)",,
H2,"1331.6428(R14984,S2798)",,
H3,"1319.6173(R14808,S2668)",,
H4,N,,
H5,"1319.5863(R14747,S1539)",,
H6,N,,
H7,"1333.6017(R15343,S7267)",,
H8,"1333.5573(R18422,S36)",,
H9,"1345.5967(R15017,S260)",,
H10,"1303.5573(R14430,S2979)",,
H11,"1333.5924(R15047,S9798)",,
H12,"1333.5570(R14261,S1382)",,
H13,"1360.5543(R16223,S242)",,
H14,"1345.5874(R14855,S631)",,
H15,"1289.5146(R14857,S660)",,
H16,"1289.5966(R12255,S7712)",,
H17,"1333.5530(R16184,S317)",,
H18,"1333.5405(R34138,S67)",,
H19,"1303.5363(R16737,S156)",,
H20,"991.4056(R11374,S1390)",,
H21,"1333.5361(R14624,S1163)",,
H22,"991.4081(R13765,S12459)",,
H23,"1319.5013(R15665,S1555)",,
H24,"991.3972(R12769,S10667)",,
I1,"1331.4003(R14503,S481)",,
I2,"1319.5643(R14509,S49)",,
I3,"1361.5825(R15866,S1659)",,
I4,"1333.5874(R14224,S347)","991.4487(R11520,S2885)",
I5,"1331.6296(R15809,S6607)",,
I6,"1345.6207(R13233,S631)",,
I7,"1331.6018(R15129,S3562)",,
I8,"1345.5874(R15814,S662)",,
I9,"1289.5181(R13543,S1138)",,
I10,"1303.5186(R14831,S1082)",,
I11,"1331.5819(R15472,S8129)",,
I12,"1303.5115(R13690,S866)",,
I13,"1319.4939(R14279,S295)","991.3912(R11917,S472)",
I14,"1303.5199(R16607,S321)",,
I15,"1331.5438(R16730,S254)",,
I16,"1289.4889(R16928,S250)",,
I17,"1331.5763(R15947,S9348)",,
I18,"1333.5168(R18237,S267)","991.3917(R12121,S775)",
I19,"1379.5272(R16594,S3130)",,
I20,"1345.5504(R17865,S147)",,
I21,"1331.5421(R15900,S5978)",,
I22,"1331.5145(R16111,S1552)",,
I23,"1303.4724(R14667,S1362)",,
I24,"1331.5321(R14921,S3265)",,
J1,"1331.3568(R14960,S348)","1289.3199(R12455,S97)",
J2,"1303.5487(R13832,S407)",,
J3,"1303.5516(R14430,S579)",,
J4,"1331.5804(R15994,S7744)",,
J5,"1395.5605(R16641,S404)",,
J6,"1289.5374(R14878,S2402)",,
J7,"1331.5757(R15235,S4967)",,
J8,"1303.5154(R14668,S971)",,
J9,"1319.5060(R14166,S1203)",,
J10,"1360.5555(R14821,S669)",,
J11,"1303.5098(R16428,S201)",,
J12,"1303.5198(R25585,S11)",,
J13,"1331.5492(R14563,S2431)",,
J14,"1390.5283(R15668,S2836)",,
J15,"1331.5504(R14602,S3052)",,
J16,"1303.4932(R15819,S57)",,
J17,"1331.5598(R16088,S4633)",,
J18,"1345.5444(R15459,S573)",,
J19,"1331.5419(R15877,S9270)",,
J20,"1345.5168(R17222,S1380)",,
J21,"1331.5380(R14390,S7002)",,
J22,"1303.4495(R33790,S22)",,
J23,"1331.5231(R15762,S6507)",,
J24,"1303.4669(R17856,S112)",,
K1,"1331.3700(R14275,S975)",,
K2,"1331.5699(R14740,S5845)",,
K3,"1303.5436(R14181,S1407)",,
K4,"1303.5215(R14568,S2202)",,
K5,"1345.5590(R14168,S1717)",,
K6,"1331.5504(R14800,S5102)",,
K7,"1303.4963(R15124,S221)",,
K8,"1361.4987(R19498,S17)",,
K9,"1331.5508(R14582,S3783)",,
K10,"1345.5088(R19303,S45)",,
K11,"1331.5399(R14700,S5333)",,
K12,"1331.5299(R15740,S4628)",,
K13,N,,
K14,"1390.4955(R16111,S2808)",,
K15,"1331.5110(R14740,S111)",,
K16,"1319.4857(R15642,S6624)",,
K17,"1331.5151(R14800,S2359)",,
K18,"1331.5236(R16329,S5177)",,
K19,"1303.4648(R14667,S1142)",,
K20,"1303.4554(R15842,S1067)",,
K21,"1333.4534(R17148,S191)","1345.4886(R19069,S40)",
K22,"1289.4364(R15111,S2798)",,
K23,"1319.4500(R15825,S5046)",,
K24,"1303.4457(R14996,S2670)",,
L1,"1379.3250(R17094,S2197)",,
L2,"1379.5612(R15376,S3014)",,
L3,N,,
L4,"1303.5219(R16033,S6055)",,
L5,"1303.4917(R14199,S2455)",,
L6,"1345.5433(R14815,S70)",,
L7,"1345.5187(R15078,S399)",,
L8,"1345.5326(R14222,S33)",,
L9,"1360.4813(R14606,S511)",,
L10,"1395.4777(R31932,S27)",,
L11,"991.3883(R12031,S12319)",,
L12,"1319.4794(R15552,S5649)",,
L13,"1289.4468(R15908,S756)",,
L14,"1319.4733(R15441,S9059)",,
L15,"1319.4567(R16013,S416)","1333.4664(R15740,S334)",
L16,"1331.5009(R16602,S7189)",,
L17,"1333.4673(R13897,S583)",,
L18,"1303.4407(R15818,S276)",,
L19,"1361.4397(R16210,S319)",,
L20,"1345.4939(R14203,S84)",,
L21,"1319.4408(R14826,S634)",,
L22,"1361.4357(R16257,S20)",,
L23,"1379.4476(R15188,S5428)",,
L24,"1331.4462(R17395,S8739)",,
M1,"1303.5011(R14333,S1053)",,
M2,"1331.5461(R15763,S7642)",,
M3,"1346.5044(R15172,S3131)",,
M4,"1331.5425(R14582,S4222)",,
M5,"1319.4756(R14567,S534)",,
M6,"1379.5165(R15480,S2645)",,
M7,"1346.4548(R15277,S730)",,
M8,"1331.4995(R15785,S7879)",,
M9,"1345.4913(R13899,S558)",,
M10,"1331.4764(R14389,S4030)",,
M11,"1345.4882(R15568,S254)",,
M12,"1331.4725(R14427,S3922)",,
M13,"1360.4547(R14702,S410)",,
M14,"1289.4504(R15025,S9500)",,
M15,"1331.4500(R15784,S65)",,
M16,"1360.4528(R16609,S1101)",,
M17,"1360.4386(R15266,S634)",,
M18,"1379.4534(R23109,S49)",,
M19,"1319.4171(R17661,S195)",,
M20,"1319.4264(R16036,S9287)",,
M21,"1319.4006(R15894,S2067)",,
M22,"1379.4396(R15168,S5025)",,
M23,"1319.4232(R15138,S5790)",,
M24,"1379.4287(R15826,S1434)",,
N1,"1331.3071(R13171,S1029)",,
N2,"1303.4795(R13381,S830)",,
N3,"1303.4558(R16554,S83)",,
N4,"1331.5220(R15877,S8619)",,
N5,"1319.4478(R14888,S225)","1333.4603(R15877,S187)",
